task,task_normalized,dwa_title,iwa_title,gwa_title,title,title_normalized,soc_code_2010,broad_occ,minor_occ_category,major_occ_category,date,pct_normalized,auto_aug_mean,physical,freq_mean,importance,relevance,eloundu_human,eloundu_gpt4,a_med_nat_2025,a_med_al_2025,a_med_ak_2025,a_med_az_2025,a_med_ar_2025,a_med_ca_2025,a_med_co_2025,a_med_ct_2025,a_med_de_2025,a_med_dc_2025,a_med_fl_2025,a_med_ga_2025,a_med_hi_2025,a_med_id_2025,a_med_il_2025,a_med_in_2025,a_med_ia_2025,a_med_ks_2025,a_med_ky_2025,a_med_la_2025,a_med_me_2025,a_med_md_2025,a_med_ma_2025,a_med_mi_2025,a_med_mn_2025,a_med_ms_2025,a_med_mo_2025,a_med_mt_2025,a_med_ne_2025,a_med_nv_2025,a_med_nh_2025,a_med_nj_2025,a_med_nm_2025,a_med_ny_2025,a_med_nc_2025,a_med_nd_2025,a_med_oh_2025,a_med_ok_2025,a_med_or_2025,a_med_pa_2025,a_med_ri_2025,a_med_sc_2025,a_med_sd_2025,a_med_tn_2025,a_med_tx_2025,a_med_ut_2025,a_med_vt_2025,a_med_va_2025,a_med_wa_2025,a_med_wv_2025,a_med_wi_2025,a_med_wy_2025,a_med_gu_2025,a_med_pr_2025,a_med_vi_2025,emp_tot_nat_2025,emp_tot_al_2025,emp_tot_ak_2025,emp_tot_az_2025,emp_tot_ar_2025,emp_tot_ca_2025,emp_tot_co_2025,emp_tot_ct_2025,emp_tot_de_2025,emp_tot_dc_2025,emp_tot_fl_2025,emp_tot_ga_2025,emp_tot_hi_2025,emp_tot_id_2025,emp_tot_il_2025,emp_tot_in_2025,emp_tot_ia_2025,emp_tot_ks_2025,emp_tot_ky_2025,emp_tot_la_2025,emp_tot_me_2025,emp_tot_md_2025,emp_tot_ma_2025,emp_tot_mi_2025,emp_tot_mn_2025,emp_tot_ms_2025,emp_tot_mo_2025,emp_tot_mt_2025,emp_tot_ne_2025,emp_tot_nv_2025,emp_tot_nh_2025,emp_tot_nj_2025,emp_tot_nm_2025,emp_tot_ny_2025,emp_tot_nc_2025,emp_tot_nd_2025,emp_tot_oh_2025,emp_tot_ok_2025,emp_tot_or_2025,emp_tot_pa_2025,emp_tot_ri_2025,emp_tot_sc_2025,emp_tot_sd_2025,emp_tot_tn_2025,emp_tot_tx_2025,emp_tot_ut_2025,emp_tot_vt_2025,emp_tot_va_2025,emp_tot_wa_2025,emp_tot_wv_2025,emp_tot_wi_2025,emp_tot_wy_2025,emp_tot_gu_2025,emp_tot_pr_2025,emp_tot_vi_2025
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction program improvement or policy change,Analyze data to assess operational or project effectiveness.,Analyze data to improve operations.,Analyzing Data or Information,Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2025-08-11,0.1933175113163537,3.2429514097180565,False,0.5812692307692308,4.13,98.57,E2,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,166363.0,1319.0,1042.0,3442.0,5780.0,56499.0,3055.0,2703.0,635.0,746.0,10554.0,6643.0,765.0,4754.0,7522.0,2963.0,4966.0,3191.0,3370.0,2056.0,2573.0,5178.0,10730.0,8060.0,10974.0,505.0,4152.0,1091.0,4087.0,2231.0,726.0,3957.0,163.0,13726.0,3142.0,619.0,7278.0,3891.0,1482.0,14410.0,749.0,2833.0,830.0,7653.0,14296.0,5113.0,586.0,7929.0,5161.0,2768.0,3126.0,98.0,70.0,4380.0,212.0
"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",deliver speeches write articles or present information at meetings or conventions to promote services exchange ideas or accomplish objectives,Present information to the public.,Provide information or assistance to the public.,Communicating with Persons Outside Organization,Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2025-08-11,0.0018056510105438,3.5605375267253923,False,0.3625461538461538,3.94,92.7,E2,E1,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,166363.0,1319.0,1042.0,3442.0,5780.0,56499.0,3055.0,2703.0,635.0,746.0,10554.0,6643.0,765.0,4754.0,7522.0,2963.0,4966.0,3191.0,3370.0,2056.0,2573.0,5178.0,10730.0,8060.0,10974.0,505.0,4152.0,1091.0,4087.0,2231.0,726.0,3957.0,163.0,13726.0,3142.0,619.0,7278.0,3891.0,1482.0,14410.0,749.0,2833.0,830.0,7653.0,14296.0,5113.0,586.0,7929.0,5161.0,2768.0,3126.0,98.0,70.0,4380.0,212.0
"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",direct or coordinate an organizations financial or budget activities to fund operations maximize investments or increase efficiency,Direct financial operations.,Manage budgets or finances.,"Guiding, Directing, and Motivating Subordinates",Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2025-08-11,0.0016927978223847,4.518189300411523,False,0.669603076923077,4.52,74.44,E0,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,166363.0,1319.0,1042.0,3442.0,5780.0,56499.0,3055.0,2703.0,635.0,746.0,10554.0,6643.0,765.0,4754.0,7522.0,2963.0,4966.0,3191.0,3370.0,2056.0,2573.0,5178.0,10730.0,8060.0,10974.0,505.0,4152.0,1091.0,4087.0,2231.0,726.0,3957.0,163.0,13726.0,3142.0,619.0,7278.0,3891.0,1482.0,14410.0,749.0,2833.0,830.0,7653.0,14296.0,5113.0,586.0,7929.0,5161.0,2768.0,3126.0,98.0,70.0,4380.0,212.0
Direct or conduct studies or research on issues affecting areas of responsibility.,direct or conduct studies or research on issues affecting areas of responsibility,,,,Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2025-08-11,0.0018056510105438,3.1534117867784475,False,0.4121142307692307,3.66,58.3,E1,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,166363.0,1319.0,1042.0,3442.0,5780.0,56499.0,3055.0,2703.0,635.0,746.0,10554.0,6643.0,765.0,4754.0,7522.0,2963.0,4966.0,3191.0,3370.0,2056.0,2573.0,5178.0,10730.0,8060.0,10974.0,505.0,4152.0,1091.0,4087.0,2231.0,726.0,3957.0,163.0,13726.0,3142.0,619.0,7278.0,3891.0,1482.0,14410.0,749.0,2833.0,830.0,7653.0,14296.0,5113.0,586.0,7929.0,5161.0,2768.0,3126.0,98.0,70.0,4380.0,212.0
"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",interpret and explain policies rules regulations or laws to organizations government or corporate officials or individuals,Communicate organizational policies and procedures.,"Explain regulations, policies, or procedures.",Interpreting the Meaning of Information for Others,Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2025-08-11,0.0473983390267767,2.328395061728396,False,0.7389096153846154,4.09,96.73,E1,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,166363.0,1319.0,1042.0,3442.0,5780.0,56499.0,3055.0,2703.0,635.0,746.0,10554.0,6643.0,765.0,4754.0,7522.0,2963.0,4966.0,3191.0,3370.0,2056.0,2573.0,5178.0,10730.0,8060.0,10974.0,505.0,4152.0,1091.0,4087.0,2231.0,726.0,3957.0,163.0,13726.0,3142.0,619.0,7278.0,3891.0,1482.0,14410.0,749.0,2833.0,830.0,7653.0,14296.0,5113.0,586.0,7929.0,5161.0,2768.0,3126.0,98.0,70.0,4380.0,212.0
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",direct plan or implement policies objectives or activities of organizations or businesses to ensure continuing operations to maximize returns on investments or to increase productivity,Implement organizational process or policy changes.,Implement procedures or processes.,Making Decisions and Solving Problems,Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2025-08-11,0.0019185041987028,3.899631967299025,False,0.9714211538461538,4.24,97.79,E0,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,166363.0,1319.0,1042.0,3442.0,5780.0,56499.0,3055.0,2703.0,635.0,746.0,10554.0,6643.0,765.0,4754.0,7522.0,2963.0,4966.0,3191.0,3370.0,2056.0,2573.0,5178.0,10730.0,8060.0,10974.0,505.0,4152.0,1091.0,4087.0,2231.0,726.0,3957.0,163.0,13726.0,3142.0,619.0,7278.0,3891.0,1482.0,14410.0,749.0,2833.0,830.0,7653.0,14296.0,5113.0,586.0,7929.0,5161.0,2768.0,3126.0,98.0,70.0,4380.0,212.0
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",direct plan or implement policies objectives or activities of organizations or businesses to ensure continuing operations to maximize returns on investments or to increase productivity,Develop organizational policies or programs.,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies,Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2025-08-11,0.0019185041987028,3.899631967299025,False,0.9714211538461538,4.24,97.79,E0,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,166363.0,1319.0,1042.0,3442.0,5780.0,56499.0,3055.0,2703.0,635.0,746.0,10554.0,6643.0,765.0,4754.0,7522.0,2963.0,4966.0,3191.0,3370.0,2056.0,2573.0,5178.0,10730.0,8060.0,10974.0,505.0,4152.0,1091.0,4087.0,2231.0,726.0,3957.0,163.0,13726.0,3142.0,619.0,7278.0,3891.0,1482.0,14410.0,749.0,2833.0,830.0,7653.0,14296.0,5113.0,586.0,7929.0,5161.0,2768.0,3126.0,98.0,70.0,4380.0,212.0
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",direct plan or implement policies objectives or activities of organizations or businesses to ensure continuing operations to maximize returns on investments or to increase productivity,"Direct organizational operations, projects, or services.","Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates",Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2025-08-11,0.0019185041987028,3.899631967299025,False,0.9714211538461538,4.24,97.79,E0,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,166363.0,1319.0,1042.0,3442.0,5780.0,56499.0,3055.0,2703.0,635.0,746.0,10554.0,6643.0,765.0,4754.0,7522.0,2963.0,4966.0,3191.0,3370.0,2056.0,2573.0,5178.0,10730.0,8060.0,10974.0,505.0,4152.0,1091.0,4087.0,2231.0,726.0,3957.0,163.0,13726.0,3142.0,619.0,7278.0,3891.0,1482.0,14410.0,749.0,2833.0,830.0,7653.0,14296.0,5113.0,586.0,7929.0,5161.0,2768.0,3126.0,98.0,70.0,4380.0,212.0
"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",confer with board members organization officials or staff members to discuss issues coordinate activities or resolve problems,Confer with organizational members to accomplish work activities.,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates",Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2025-08-11,0.0056426594079495,3.888888888888889,False,0.6259653846153846,4.32,81.71,E0,E0,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,166363.0,1319.0,1042.0,3442.0,5780.0,56499.0,3055.0,2703.0,635.0,746.0,10554.0,6643.0,765.0,4754.0,7522.0,2963.0,4966.0,3191.0,3370.0,2056.0,2573.0,5178.0,10730.0,8060.0,10974.0,505.0,4152.0,1091.0,4087.0,2231.0,726.0,3957.0,163.0,13726.0,3142.0,619.0,7278.0,3891.0,1482.0,14410.0,749.0,2833.0,830.0,7653.0,14296.0,5113.0,586.0,7929.0,5161.0,2768.0,3126.0,98.0,70.0,4380.0,212.0
"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",develop or oversee the development of marketing or outreach media for sustainability projects or events,Develop marketing plans or strategies for environmental initiatives.,Develop business or marketing plans.,Thinking Creatively,Chief Sustainability Officers,chief sustainability officers,11-1011.03,Chief Executives,Top Executives,Management Occupations,2025-08-11,0.0036113020210876,3.0,False,0.3320507692307692,3.93,100.0,E2,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,37987.0,301.0,238.0,786.0,1320.0,12901.0,697.0,617.0,145.0,170.0,2410.0,1517.0,175.0,1086.0,1718.0,677.0,1134.0,729.0,770.0,470.0,587.0,1182.0,2450.0,1840.0,2506.0,115.0,948.0,249.0,933.0,509.0,166.0,903.0,37.0,3134.0,718.0,141.0,1662.0,889.0,338.0,3290.0,171.0,647.0,190.0,1747.0,3264.0,1167.0,134.0,1811.0,1179.0,632.0,714.0,22.0,16.0,1000.0,48.0
